Data_Tag,RESERVOIR,lithology,FWL,GOC,J_A,J_B,J_C,viscosity,expected_recovery,max_porosity,hperm,jperm,has_aquifer,VRR,discovery_pressure,GOR, OOIP ,Comp Height Cap,KH_Max,Max Rate,P90 Rate,P75 Rate,P50 Rate,P25 Rate,P10 Rate,Bubble Point
STEVENS,A3-6SND,mixed_porc_sand,-9400,-4000.00,6.575,-0.4075,0.04,0.5,0.35,0.29,15,-3,FALSE,1.1,4100,700,180000000,400,30000,4830,109,258,1056,1510,2679,2800
STEVENS,MBB/W31,mixed_porc_sand,-8500,-4000.00,6.575,-0.4075,0.04,0.5,0.39,0.29,15,-3,FALSE,1.2,3800,800,600000000,600,40000,2797,33,70,219,270,501,2800
STEVENS,31SNASH,mixed_porc_sand,-8500,-4000.00,6.575,-0.4075,0.04,0.3,0.09,0.29,5,-3,FALSE,0.3,3800,800,1137000000,1000,10000,1563,24,58,232,333,545,2800
STEVENS,31SCDSH,mixed_porc_sand,-8500,-3000.00,6.575,-0.4075,0.04,0.45,0.14,0.29,4,-3,FALSE,0,3175,950,316000000,400,10000,1232,19,45,199,237,510,2800
STEVENS,N&T,mixed_porc_sand,-8100,-4000.00,6.575,-0.4075,0.04,1,0.26,0.23,5,-3,FALSE,0.8,4100,1000,53000000,800,10000,1084,57,95,215,257,453,2800
STEVENS,24ZSND,sandstone,-5150,-4030.00,6.575,-0.4075,0.04,1,0.35,0.35,35,-3,FALSE,1.8,2600,650,144000000,600,30000,1860,152,312,571,720,1108,2800
STEVENS,26RSND,sandstone,-6010,-3500.00,6.575,-0.4075,0.04,1,0.49,0.3,40,-3,FALSE,0.1,3000,800,460000000,800,50000,1092,13,57,364,606,853,2800
ESOZ_01A2,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200,8300000,550,155027,1375,20,45,108,209,285,1800
ESOZ_01B,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200,1300000,550,155027,1375,20,45,108,209,285,1800
ESOZ_2,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 16,000,000 ",550,155027,1375,20,45,108,209,285,1800
ESOZ_3,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 26,000,000 ",250,80000,1109,20,60,122,264,387,1800
ESOZ_4,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 10,000,000 ",300,127375,1834,31,75,167,291,459,1800
ESOZ_5,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 36,000,000 ",650,121822,2487,22,59,141,235,391,1800
ESOZ_6,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 9,200,000 ",350,147481,3178,38,75,160,270,545,1800
ESOZ_07A,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 52,000,000 ",1400,156531,2375,16,48,124,231,353,1800
ESOZ_07B,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 33,000,000 ",300,178571,635,20,47,114,204,350,1800
ESOZ_08A,SOZ,unconsolidated_sand,-3800,-1600.00,6.575,-0.4075,0.04,28,0.70,0.33,40,-3,TRUE,0.8,1200,200," 38,000,000 ",908,133314,1897,17,28,61,159,291,1800
