DirtyColumn,DirtyTable,CleanColumn,
API_NO14,BDA_PERF_StatePerEvent,API14,
CF_StatusType,BDA_PERF_StatePerEvent,CF_StatusType,
STATUS,BDA_PERF_StatePerEvent,CompletionStatus,
STATUS_EFFECTIVE_DATE,BDA_PERF_StatePerEvent,DATE,
StatusType,BDA_PERF_StatePerEvent,CompletionStatusType,
StatusTypeValue,BDA_PERF_StatePerEvent,CompletionStatusVal,
WELLCOMP_NAME,BDA_PERF_StatePerEvent,WellName,
API_NO14,BDA_PERF_StatePerEvent_PIVOT,API14,
Depth,BDA_PERF_StatePerEvent_PIVOT,DepthMD,
WELLCOMP_NAME,BDA_PERF_StatePerEvent_PIVOT,WellName,
API_NO14,blkeng_press,API14,
datum_press,blkeng_press,datum_press,
survey_date,blkeng_press,DATE,
survey_type,blkeng_press,PRESS_TYPE,
top_marker,blkeng_press,PICK_SURF_NAME,
api_no14,bv_ekpspp_site_specific_elk_hills_gath_sys_tests,API14,
well_uwi,data_science.vods_directional_surveys,API14,
depth_datum,data_science.vods_directional_surveys,DatumElev,
measured_depth,data_science.vods_directional_surveys,DepthMD,
true_vert_depth,data_science.vods_directional_surveys,DepthTVD,
azimuth,data_science.vods_directional_surveys,AZIMUTH,
inclination,data_science.vods_directional_surveys,INCLINATION,
map_northing,data_science.vods_directional_surveys,OFFSET_EAST,
map_easting,data_science.vods_directional_surveys,OFFSET_NORTH,
well_name_free,data_science.vods_directional_surveys,WellName,
api_no14,data_science.vods_monthly_volumes,API14,
book_date,data_science.vods_monthly_volumes,BOOK_DATE,
co2_inj,data_science.vods_monthly_volumes,CO2_INJ,
co2_prod,data_science.vods_monthly_volumes,CO2_PROD,
comp_sk,data_science.vods_monthly_volumes,COMP_SK,
completion_id,data_science.vods_monthly_volumes,COMPLETION_ID,
cond_prod,data_science.vods_monthly_volumes,COND_PROD,
cond_sales,data_science.vods_monthly_volumes,COND_SALES,
cyclic_steam_inj,data_science.vods_monthly_volumes,CYCLIC_STEAM_INJ,
days_inject,data_science.vods_monthly_volumes,DAYS_INJECT,
days_prod,data_science.vods_monthly_volumes,DAYS_PROD,
disp_water_inj,data_science.vods_monthly_volumes,DISP_WATER_INJ,
end_inventory,data_science.vods_monthly_volumes,END_INVENTORY,
gas_flare_disp,data_science.vods_monthly_volumes,GAS_FLARE_DISP,
gas_fuel_disp,data_science.vods_monthly_volumes,GAS_FUEL_DISP,
gas_inj,data_science.vods_monthly_volumes,GAS_INJ,
gas_other_disp,data_science.vods_monthly_volumes,GAS_OTHER_DISP,
gwg_prod,data_science.vods_monthly_volumes,GWG_PROD,
gwg_sales,data_science.vods_monthly_volumes,GWG_SALES,
hours_up_pct,data_science.vods_monthly_volumes,HOURS_UP_PCT,
hrs_inject,data_science.vods_monthly_volumes,HRS_INJECT,
hrs_prod,data_science.vods_monthly_volumes,HRS_PROD,
