,Completion_Height,z,Est_HAFWL,Est Relative GOC,KH,NearestInjectorDistance,InjectorType,NearestInjectorWaterRate,NearestInjectorGasRate,est_pressure,NearestProducerDistance,oil_cut,GOR,NearestProducerGrossRate,NearestProducerOilRate,NearestProducerWaterRate,NearestProducerGasRate,Est_500ft_Recovery,Est_4000ft_Recovery,Weighted_Sw_est,oil,water,gas,lift_type,NearestProducerOilPerFt,NearestProducerWaterRatePerFt,NearestProducerGasRatePerFt,Est_Remaining_Oil,inferred_oil_from_nearest_producer,inferred_water_from_nearest_producer,inferred_gas_from_nearest_producer,DATE,RESERVOIR,WELL_COMMON_NAME,log_oil_rate,log_water_rate,log_gas_rate,gross_prod
15,115,-9230,170,-5230,0,,2,,,,618.636684,0.992401697,2.39647802,526.4333333,522.4333333,4,1252,0.03692155,0.03692155,,660.2580645,4,330,1,1.374824561,0.010526316,3.294736842,0.894509857,158.1048246,1.210526316,378.8947368,1/8/1982 0:00,A3-6SND,A1,2.819713714,0.602059991,2.51851394,994.2580645
23,375,-9286.071484,113.9285156,-5286.071484,135.8265,6202.286531,0,0,0,3526.43198,935.6821041,0.694384912,0,75.25806452,52.25806452,23,0,0.083143261,0.083143261,0.308215398,0,0,0,0,0.387096774,0.17037037,0,0.762447825,145.1612903,63.88888889,0,10/24/1983 0:00,A3-6SND,A2,#NAME?,#NAME?,#NAME?,0
24,375,-9286.071484,113.9285156,-5286.071484,135.8265,6202.286531,0,0,0,3526.43198,935.6821041,0.694384912,0,75.25806452,52.25806452,23,0,0.083143261,0.083143261,0.308215398,0,0,0,0,0.387096774,0.17037037,0,0.762447825,145.1612903,63.88888889,0,10/24/1983 0:00,A3-6SND,A2,#NAME?,#NAME?,#NAME?,0
35,140,-9065.850098,334.1499023,-5065.850098,63.8756,4421.934687,1,0,0,4170.143713,1781.940775,0.940433453,14.46797681,268.6071429,252.6071429,16,3654.714286,0.181591528,0.181591528,0.219242858,590.8,17,745,1,2.405782313,0.152380952,34.80680272,0.481167063,336.8095238,21.33333333,4872.952381,4/15/1989 0:00,A3-6SND,A1,2.771440487,1.230448921,2.872156273,1352.8
40,0,-9146.068164,253.9318359,-5146.068164,0,1290.796653,0,0,0,,631.8807558,0.871107893,44.41729011,44.5483871,38.80645161,5.741935484,1723.677419,0.274203617,0.274203617,,0,0,0,1,0.346486175,0.051267281,15.38997696,0.216561095,0,0,0,9/23/1998 0:00,A3-6SND,A1,#NAME?,#NAME?,#NAME?,0
54,115,-9096.700195,303.2998047,-5096.700195,60.6296,1243.813871,2,,,4021.58486,886.0475439,0.021735783,2.614120557,2216.202839,48.17090323,2168.031935,125.9245484,0.312006979,0.312006979,0.193532205,0.2579,447.6390333,4.4235,1,0.698129032,31.42075269,1.824993455,0.108551489,80.28483871,3613.386559,209.8742473,3/19/2005 0:00,A3-6SND,A1,-0.588548658,2.650927949,0.645766032,452.3204333
67,261,-9146.068164,253.9318359,-5146.068164,113.2432,1243.813871,2,,,2682.940334,343.310984,0.008676728,47.847667,517.4679286,4.489928571,512.978,214.8326071,0.344444484,0.344444484,0.368357341,10.86170968,2802.092839,23.58929032,1,0.015429308,1.762810997,0.738256382,0.015872902,4.027049337,460.0936701,192.6849157,4/24/2017 0:00,A3-6SND,A1,1.03589819,3.44748252,1.372714875,2836.543839
68,246,-8662.844587,737.1554129,-4662.844587,63.0197,1978.127975,1,0,0,3752.997382,534.3875031,0.993256262,0.538473973,207.6,206.2,1.4,111.0333333,0.261030667,0.261030667,0.303924938,92.90322581,1.096774194,78.87096774,0,1.020792079,0.006930693,0.549669967,0.254198095,251.1148515,1.704950495,135.2188119,6/23/1997 0:00,A3-6SND,A3,1.968030794,0.040117223,1.89691717,172.8709677
69,246,-8662.844587,737.1554129,-4662.844587,63.0197,1978.127975,1,0,0,3752.997382,534.3875031,0.993256262,0.538473973,207.6,206.2,1.4,111.0333333,0.261030667,0.261030667,0.303924938,92.90322581,1.096774194,78.87096774,0,1.020792079,0.006930693,0.549669967,0.254198095,251.1148515,1.704950495,135.2188119,6/23/1997 0:00,A3-6SND,A3,1.968030794,0.040117223,1.89691717,172.8709677
90,387,-9007.869575,392.1304253,-5007.869575,205.695,23542.35914,0,0,0,4014.032064,990.055049,0.997663551,0,428,427,1,0,0.010233206,0.010233206,0.24858923,446.8,0,182,1,3.162962963,0.007407407,0,0.97076227,1224.066667,2.866666667,0,12/18/1980 0:00,A3-6SND,A4,2.650113164,#NAME?,2.260071388,628.8
96,443,-9007.869575,392.1304253,-5007.869575,265.4426,726.9558255,0,0,0,3634.896305,589.2268239,0.049271215,5.395644283,771.2413793,38,733.2413793,205.0344828,0.2665004,0.2665004,0.261082072,,,,1,0.365384615,7.050397878,1.971485411,0.238570286,161.8653846,3123.32626,873.3680371,12/22/1997 0:00,A3-6SND,A4,,,,
103,241,-8634.949056,765.050944,-4634.949056,187.8012,726.9558255,0,0,0,4068.636749,589.2268239,0.056029916,19.23025584,1234.230769,69.15384615,1165.076923,1329.846154,0.295024411,0.295024411,0.20936942,0,0,0,1,0.664940828,11.20266272,12.78698225,0.157073111,160.2507396,2699.841716,3081.662722,4/21/2001 0:00,A3-6SND,A4,#NAME?,#NAME?,#NAME?,0
118,351,-8783.269434,616.7305664,-4783.269434,214.3677,1670.068262,1,0,0,2697.306163,806.633126,0.028583053,0.729629788,3561.490174,101.7982609,3459.691913,74.27504348,0.316749209,0.316749209,0.221980115,,,,1,0.396102182,13.46183624,0.289007951,0.09500226,139.031866,4725.104519,101.4417909,8/29/2006 0:00,A3-6SND,A4,,,,
133,280,-9250.121582,149.878418,-5250.121582,6.1586,17448.37105,0,0,0,4483.143716,1207.336792,0.991133629,1.842811502,112.7857143,111.7857143,1,206,0.002809278,0.002809278,0.367904984,0,0,0,0,0.770935961,0.006896552,1.420689655,0.991973492,215.862069,1.931034483,397.7931034,1/19/1979 0:00,A3-6SND,A5,#NAME?,#NAME?,#NAME?,0
137,441,-8789.972035,610.0279652,-4789.972035,274.1228,1632.771334,1,0,0,2801.515983,0,,,0,0,0,0,0.318636907,0.318636907,0.230689179,,,,1,0.127843567,11.02583577,0.639138402,0.089608837,56.37901316,4862.393575,281.8600351,4/18/2007 0:00,A3-6SND,A4,,,,
150,379,-8991.71582,408.2841797,-4991.71582,217.004,1632.771334,1,0,0,3132.027441,360.0953054,0.011462008,4.999378657,1204.597368,13.80710526,1190.790263,69.02694737,0.331206606,0.331206606,0.253425196,0,0,0,1,0.107920474,5.932918319,0.116022773,0.053695412,40.9018597,2248.576043,43.97263096,7/20/2011 0:00,A3-6SND,A4,#NAME?,#NAME?,#NAME?,0
163,470,-9018.300944,381.699056,-5018.300944,9296.2466,17510.18657,0,0,0,4223.687681,9868.213329,0.997785433,1.154130703,451.5555556,450.5555556,1,520,0.002809278,0.002809278,0.181389155,27.96551724,5,15,0,3.575837743,0.007936508,4.126984127,0.991973492,1680.643739,3.73015873,1939.68254,5/4/1979 0:00,A3-6SND,A5,1.446622856,0.698970004,1.176091259,47.96551724
172,525,-8901.281025,498.7189754,-4901.281025,229.0463,0,2,,,2780.270003,359.7580915,0.017865147,1.075076568,2802.9492,50.0751,2752.8741,53.83456667,0.343782041,0.343782041,0.237432793,0,0,0,1,,,,0.017765596,,,,11/11/2016 0:00,A3-6SND,A4,#NAME?,#NAME?,#NAME?,0
177,266,-9313.287435,86.7125651,-5313.287435,175.4295,1895.50234,0,0,0,3672.051468,726.4380965,0.952928416,0.673913043,297.4193548,283.4193548,14,191,0.065800428,0.065800428,0.229681781,6.833333333,220,25,0,,,,0.811998778,,,,2/24/1983 0:00,A3-6SND,A6,0.834632606,2.342422681,1.397940009,251.8333333
179,310,-9007.898112,392.101888,-5007.898112,12394.08,23503.77231,0,0,0,4284.272331,948.3974881,1,0.44080524,403.8064516,403.8064516,0,178,0.024189806,0.024189806,0.262756981,311.2580645,18,180,1,1.402105735,0,0.618055556,0.93088627,434.6527778,0,191.5972222,7/19/1981 0:00,A3-6SND,A7,2.493120613,1.255272505,2.255272505,509.2580645
191,0,-9313.287435,86.7125651,-5313.287435,0,855.9023131,1,0,0,,726.4380965,0.976825029,0.514037169,647.25,632.25,15,325,0.136319378,0.136319378,,0,0,0,0,,,,0.610516063,,,,8/1/1986 0:00,A3-6SND,A6,#NAME?,#NAME?,#NAME?,0
199,376,-8971.460815,428.5391846,-4971.460815,12616.89,881.4345787,0,0,0,3598.207719,685.2378639,0.996502477,0.491371746,571.8333333,569.8333333,2,280,0.107513844,0.107513844,0.203022952,134.4333333,6,62,1,14.24583333,0.05,7,0.692817587,5356.433333,18.8,2632,1/17/1985 0:00,A3-6SND,A7,2.128506967,0.77815125,1.792391689,202.4333333
219,78,-8800.880371,599.1196289,-4800.880371,175.52,833.6063116,1,0,0,3865.098601,527.3246462,0.048444604,1.737538941,1766.966667,85.6,1681.366667,148.7333333,0.265588767,0.265588767,0.267738761,29.64516129,370,135.3548387,1,0.47032967,9.238278388,0.817216117,0.241174952,36.68571429,720.5857143,63.74285714,11/11/1997 0:00,A3-6SND,A7,1.471953818,2.568201724,2.131473786,535
230,0,-8956.677024,443.3229759,-4956.677024,0,893.1218057,0,0,0,,893.1218057,,,0,0,0,0,0.292664106,0.292664106,,0,0,0,1,0,0,0,0.163816841,0,0,0,11/1/2000 0:00,A3-6SND,A7,#NAME?,#NAME?,#NAME?,0
238,51,-8791.712891,608.2871094,-4791.712891,0,893.1218057,0,0,0,,893.1218057,,,0,0,0,0,0.293171933,0.293171933,,,,,1,0,0,0,0.162365905,0,0,0,12/28/2000 0:00,A3-6SND,A7,,,,
254,493,-8971.339941,428.6600586,-4971.339941,13032.91,2620.379367,1,0,0,3713.890414,955.3321794,,,0,0,0,0,0.309855078,0.309855078,0.269890191,,,,1,0.244621713,17.72210377,0.708990227,0.114699778,120.5985044,8736.997157,349.5321821,8/24/2004 0:00,A3-6SND,A7,,,,
260,90,-8964,436,-4964,27.0225,2399.594953,1,0,0,3409.475407,509.6753869,0.357137145,0.539184953,416.8333333,148.8666667,267.9666667,80.26666667,0.247462572,0.247462572,0.421096286,382.5666667,13.8,383.4333333,1,0.471097046,0.847995781,0.254008439,0.292964079,42.39873418,76.31962025,22.86075949,9/8/1995 0:00,A3-6SND,A8,2.582707127,1.139879086,2.583689865,779.8
268,493,-8971.339941,428.6600586,-4971.339941,13032.91,833.6063116,1,0,0,3687.85829,527.3246462,0.013615264,2.898312742,3611.311821,49.16896429,3562.142857,142.5070357,0.315677346,0.315677346,0.283780387,0.528733333,1458.868667,347.7267,1,,,,0.098064725,,,,4/1/2006 0:00,A3-6SND,A7,-0.276763309,3.164016197,2.541238039,1807.1241
274,320,-8828.867432,571.1325684,-4828.867432,105.3505,4742.653137,1,0,0,3355.73916,1039.199738,0.985281866,0.455045096,232.3225806,228.9032258,3.419354839,104.1612903,0.258693244,0.258693244,0.458553838,211.2903226,168.9354839,106.2580645,1,1.133184286,0.016927499,0.515649952,0.260876444,362.6189716,5.416799744,165.0079847,3/28/1997 0:00,A3-6SND,A8,2.324879606,2.22772088,2.026361901,486.483871
348,472,-9043.971463,356.0285373,-5043.971463,17761.37,2023.240571,1,0,0,3937.75761,886.826505,0.101954811,0.866035857,729.4444444,74.37037037,655.0740741,64.40740741,0.261867994,0.261867994,0.350915639,107.4193548,612.1612903,150.4516129,1,0.226049758,1.991106608,0.195767196,0.25180573,106.6954858,939.802319,92.4021164,7/7/1997 0:00,A3-6SND,A9,2.03108254,2.786865864,2.177396848,870.0322581
351,343,-9186.917791,213.0822088,-5186.917791,230.6177,13293.51233,1,0,0,4271.80532,1333.547589,,inf,0,0,0,161,0.001277372,0.001277372,0.122179506,376.0645161,2,405,1,0,0,0.389830508,0.996350365,0,0,133.7118644,1/7/1974 0:00,A3-6SND,A10,2.575262357,0.301029996,2.607455023,783.0645161
358,344,-9181.236491,218.7635091,-5181.236491,230.9194,805.4423769,1,0,0,3889.526509,173.1839245,0.022575485,1.320224567,2690.744871,60.74487097,2630,80.19687097,0.318405582,0.318405582,0.301791851,18.05013333,678.6666667,0,1,0.328350654,14.21621622,0.4334966,0.090269766,112.9526249,4890.378378,149.1228303,3/8/2007 0:00,A3-6SND,A10,1.256480414,2.831656519,#NAME?,696.7168
361,472,-9043.971463,356.0285373,-5043.971463,17761.37,2023.240571,1,0,0,3495.626343,886.826505,0.023041475,7.4,43.4,1,42.4,7.4,0.310520309,0.310520309,0.317819053,78.94767857,2325.141179,155.2516429,1,0.003831418,0.162452107,0.02835249,0.112799116,1.808429119,76.67739464,13.38237548,9/30/2004 0:00,A3-6SND,A9,1.897339364,3.366449328,2.191036205,2559.3405
364,344,-8689.600586,710.3994141,-4689.600586,45.4657,1678.988559,1,0,0,3490.696301,172.9512803,0.439911432,1.718594512,55.97329032,24.62329032,31.35,42.31745161,0.317786093,0.317786093,0.553556136,0,0,0,0,0.121897477,0.15519802,0.209492335,0.092039735,41.93273203,53.38811881,72.06536314,12/20/2006 0:00,A3-6SND,A11,#NAME?,#NAME?,#NAME?,0
369,344,-9179.764423,220.2355769,-5179.764423,236.3332,805.4423769,1,0,0,3332.846966,173.1839245,0.016903244,9.323039293,1047.073323,17.69893548,1029.374387,165.007871,0.337400988,0.337400988,0.350051043,2.704806452,304.0470968,63.53080645,1,0.095669922,5.564185876,0.891934438,0.035997178,32.91045301,1914.079941,306.8254466,10/3/2013 0:00,A3-6SND,A10,0.432136194,2.482940861,1.802984368,370.2827097
370,511,-9043.971463,356.0285373,-5043.971463,17826.92,933.465365,1,0,0,3868.523271,932.0799322,0.010200865,2.140200466,2702.296933,27.56576667,2674.731167,58.99626667,0.33202393,0.33202393,0.335150087,12.96473333,1155.102333,132.0645333,1,0.077431929,7.513289794,0.16571985,0.0513602,39.56771564,3839.291085,84.68284345,11/17/2011 0:00,A3-6SND,A9,1.112763588,3.062620461,2.120786201,1300.1316
376,0,-9505.787354,-105.7873535,-5505.787354,0,2946.087775,1,0,0,,1339.454901,0.019837289,6.539842321,317.4324839,6.297,311.1354839,41.1813871,0.323192871,0.323192871,,0,0,0,0,0.04434507,2.191094957,0.290009768,0.076591796,0,0,0,10/23/2008 0:00,A3-6SND,A11,#NAME?,#NAME?,#NAME?,0
382,78,-9945.064453,-545.0644531,-5945.064453,37.1334,2946.087775,1,0,0,4553.499312,1339.454901,0.043673304,3.763251979,350.1799677,15.29351613,334.8864516,57.55335484,0.324059821,0.324059821,0.395043371,0,0,0,0,0.107700818,2.358355293,0.405305316,0.074114798,8.400663789,183.9517129,31.61381463,2/17/2009 0:00,A3-6SND,A11,#NAME?,#NAME?,#NAME?,0
391,446,-9568.605632,-168.6056315,-5568.605632,85.0307,,2,,,4166.037869,22529.66196,0,inf,3.002928571,0,3.002928571,263.5113571,0.327771379,0.327771379,0.454082215,0,0,0,0,0,0.00573078,0.502884269,0.063510347,0,2.555927754,224.2863841,4/2/2010 0:00,A3-6SND,A11,#NAME?,#NAME?,#NAME?,0
402,726,-9443.033482,-43.03348214,-5443.033482,130.2796,639.9113637,1,0,0,4330.362324,172.9512803,0.061511081,0.548515815,394.543129,24.26877419,370.2743548,13.31180645,0.345551915,0.345551915,0.380598885,0,0,0,0,0.061910138,0.944577436,0.03395869,0.012708814,44.94676037,685.7632184,24.65400889,12/19/2017 0:00,A3-6SND,A11,#NAME?,#NAME?,#NAME?,0
