API14,RESERVOIR,Completion_Height,Est Relative GOC,Est_4000ft_Recovery,Est_500ft_Recovery,Est_HAFWL,Est_Remaining_Oil,GOR,InjectorType,KH,NearestProducerDistance,NearestProducerGasRate,NearestProducerGasRatePerFt,NearestProducerGrossRate,NearestProducerOilPerFt,NearestProducerOilRate,NearestProducerWaterRate,NearestProducerWaterRatePerFt,Weighted_Sw_est,inferred_gas_from_nearest_producer,inferred_oil_from_nearest_producer,inferred_water_from_nearest_producer,lift_type,oil_cut,z
A,A3-6SND,223,-1618.236328,0.348391065,0.348391065,3781.763672,0.004596958,0.339540519,1,3302.5255,1098.213029,3.463107143,0.003764247,1116.190893,0.011086297,10.19939286,1105.9915,1.202164674,0.469104867,0.839427057,2.472244138,268.0827223,1,0.009137678,-5618.236328
B,A3-6SND,437,-1569.753906,0.348391065,0.348391065,3830.246094,0.004596958,inf,1,277803.822,863.6874582,93.19111367,0.143046913,12.20077381,0.000455142,0.30077381,11.9,0.017914979,0.570322238,19.82507209,0.0526151,2.058712729,0,0.023847867,-5569.753906
C,31SCDSH,10,-1860.89209,0.129865044,0.129865044,149.1079102,0.072392545,204.6299281,1,1.0403,2248.430992,235.1046296,,94.89118519,,1.148925926,93.74225926,,0.580571561,,,,1,0.012107826,-5860.89209
D,31SCDSH,12,-3475.119141,0.129865044,0.129865044,-1465.119141,0.072392545,1.13372306,1,32.3482,3196.707219,5.194678571,0.015599635,282.4780714,0.013759653,4.581964286,277.8961071,0.834522844,0.630022006,0.187195624,0.16511583,10.01427413,0,0.016220602,-7475.119141
E,31SCDSH,12574,-3426.609375,0.129865044,0.129865044,-1416.609375,0.072392545,159.8252443,1,630083.14,2093.610992,69.50685714,0.096269885,27.19810714,0.000602345,0.434892857,26.76321429,0.037068164,0.466164465,1210.497537,7.573881975,466.095092,0,0.015989821,-7426.609375
F,MBB/W31,133,-3220.449544,0.393073153,0.393073153,1279.550456,-0.00787988,1.201472068,1,3255.7782,2776.442843,14.56363095,0.034967201,491.8748625,0.03406449,8.681682796,483.1931797,1.854897708,0.540639214,1.7720495,1.486414292,82.45965968,0,0.023469631,-7220.449544
G,MBB/W31,54,-3165.309163,0.393073153,0.393073153,1334.690837,-0.00787988,1.460490455,1,317.7859,2226.955836,11.73830952,0.01135233,41.18896429,0.007772958,8.037238095,33.15172619,0.032061631,0.523831193,0.090818642,0.06218366,0.256493046,0,0.195130862,-7165.309163
H,31SNASH,136,-1426.705688,0.053661534,0.053661534,3073.294312,0.403760733,126.2293622,1,941.124,920.1380851,279.4158135,0.263669077,352.891962,0.020326829,8.959076389,343.9328856,0.767015746,0.661935534,8.232134352,0.906743918,32.23555759,1,0.027792588,-5426.705688
I,31SNASH,1,-2774.01709,0.053661534,0.053661534,1725.98291,0.403760733,0.801753831,1,2.5671,1979.785202,6.060428571,0.023490033,79.2495,0.029298311,7.558964286,71.69053571,0.277870293,0.300255728,0.023490033,0.029298311,0.277870293,0,0.095381855,-6774.01709
J,31SNASH,695,-1789.35144,0.053661534,0.053661534,2710.64856,0.403760733,inf,1,357486.7437,1195.952732,73.70682186,0.115471346,49.26201339,0.003491551,1.449888393,47.812125,0.115635895,0.517581973,9.825115059,0.09737669,3.28869984,0,0.028113975,-5789.35144
K,31SNASH,25,-3106.290039,0.053661534,0.053661534,1393.709961,0.403760733,1.718695832,1,16.2471,495.8273038,5.2055,0.010307921,144.9797857,0.005997525,3.02875,141.9510357,0.28109116,0.372214362,0.25769802,0.149938119,7.027278996,0,0.020890843,-7106.290039
L,24ZSND,50,-1063.903198,0.353554962,0.353554962,56.09680176,-0.010157035,79.05543114,1,25.2847,928.1164469,298.7871786,,501.9223571,,3.779464286,498.1428929,,0.269849037,,,,1,0.007529978,-5093.903198
M,N&T,32,-2851.306152,0.273846174,0.273846174,1248.693848,-0.053254515,1.452981278,2,41.2485,4746.371015,11.63853571,0.012831903,89.91489286,0.00883143,8.010107143,81.90478571,0.090302961,0.488989256,0.410620885,0.282605765,2.889694755,0,0.089085433,-6851.306152
